"","PC1","PC2","PC3","PC4","PC5","cals_per_gram"
"97",1.27385948350276,0.22569142775958,0.359308898784689,0.311942703887583,0.214002144353323,"Low"
"98",1.27626524540877,0.253366745110934,0.367530952646358,0.317354205888746,0.217121261221086,"High"
"99",1.32949723367644,0.270695601620631,0.377807080571719,0.318846746407569,0.217982812469308,"Low"
"100",1.36738824916256,0.307520803346121,0.386028868076471,0.323240932039864,0.219856494401446,"High"
"101",1.39057468605222,0.334954462813226,0.392773013920749,0.329422692544543,0.224195996570132,"High"
"102",1.46850446979915,0.365566792719353,0.393269430817825,0.337850760499163,0.242013163009785,"High"
"103",1.46895864893337,0.38324096784848,0.414331181342928,0.355836110878223,0.247032246809117,"High"
"104",1.51165172622567,0.398094787445744,0.426072613708922,0.361764266275209,0.249163170877171,"High"
"105",1.52960866727429,0.448583422141587,0.436165659264357,0.380632685368911,0.251952335779306,"High"
"106",1.53842161007074,0.453865560574731,0.465787695041328,0.389055341644349,0.261484351184674,"Low"
"107",1.64009628229578,0.45919956024813,0.467444106025459,0.4017553099499,0.264211100721889,"High"
"108",1.65272508873468,0.459426237381964,0.485557109175577,0.413863080927196,0.268242170503956,"Low"
"109",1.77865338253271,0.471053192343445,0.507475408336734,0.419138755143826,0.273805796377475,"Low"
"110",1.96871429561836,0.660095389107237,0.521610201618988,0.44083898190532,0.277252497466465,"Low"
"111",2.02674831175811,0.738752831620439,0.531973803513286,0.445253534150541,0.311693547379394,"Low"
"112",2.3397763673565,0.78717549995323,0.546418823998078,0.448346679606471,0.33088279824138,"Low"
"113",2.42675240246403,0.885558932369859,0.569754325957157,0.477210975133879,0.330957711700444,"High"
"114",2.56892091396121,0.962237011312931,0.587397828947429,0.491798990820175,0.336021186522743,"Low"
"115",2.73884209016478,2.85129216733358,0.615988887829147,0.497099523909299,0.372558341842813,"High"
"116",2.79698938320639,3.08732519365893,0.649340781558835,0.504509540226978,0.378469993027335,"High"
"117",3.05738156122787,3.13360319819201,0.655180628095591,0.51306645769387,0.382566131438159,"Low"
"118",3.08398644871178,3.22279577705164,0.69380048749068,0.531047089678441,0.449039947991889,"Low"
"119",3.26536760933737,3.35723733987648,0.709590130224691,0.548404486379771,0.486064193191365,"Low"
"120",3.40955138352407,3.37985252980018,0.779126524974994,0.573630720740315,0.487153381202679,"High"
"121",3.43094966316751,3.60559127972699,0.896619930203637,0.58975251161079,0.488554031430826,"Low"
"122",3.48878515279001,3.6531617872948,0.904945358178826,0.595783581899446,0.606774374519659,"Low"
"123",3.50608498218753,4.55317587396995,1.00453327241042,0.671850125047122,0.612931264180992,"Low"
"124",3.93605564564509,4.64092490012522,1.07636501006066,0.707686683220614,0.615810124242705,"Low"
"125",4.18997450876442,4.73689925482578,1.26773070797184,0.732716847863387,0.685549482265634,"High"
"126",4.42685372842174,4.80585688241961,1.60475183748794,0.788855227749588,0.792336829505076,"Low"
